ConstituentID,DateAcquired,Gender,Gender_NM,Department,,Decade,MPD_A,MPD_M,MPD_NM,,M in 1960,NM in 1960,M in 2000,NM in 2000
6624,1935,male,male,Drawings & Prints,,,,,,,,,,
6223,1935,male,male,Drawings & Prints,,,,,,,,,,
3569,1935,male,male,Drawings & Prints,,,,,,,,,,
6581,1935,female,non-male,Drawings & Prints,,,,,,,,,,
6582,1935,male,male,Drawings & Prints,,,,,,,,,,
5293,1935,male,male,Drawings & Prints,,,,,,,,,,
3821,1935,male,male,Drawings & Prints,,,,,,,,,,
2987,1935,male,male,Drawings & Prints,,,,,,,,,,
3199,1935,male,male,Drawings & Prints,,,,,,,,,,
5053,1935,male,male,Drawings & Prints,,,,,,,,,,
2757,1935,male,male,Drawings & Prints,,,,,,,,,,
335,1935,male,male,Drawings & Prints,,,,,,,,,,
4727,1935,male,male,Drawings & Prints,,,,,,,,,,
5366,1935,male,male,Drawings & Prints,,,,,,,,,,
6563,1936,male,male,Architecture & Design,,,,,,,,,,
3737,1936,male,male,Architecture & Design,,,,,,,,,,
49558,1936,female,non-male,Architecture & Design,,,,,,,,,,
3020,1936,male,male,Architecture & Design,,,,,,,,,,
4591,1936,male,male,Painting & Sculpture,,,,,,,,,,
38149,1936,male,male,Architecture & Design,,,,,,,,,,
4376,1936,male,male,Drawings & Prints,,,,,,,,,,
5561,1936,male,male,Painting & Sculpture,,,,,,,,,,
5510,1936,male,male,Architecture & Design,,,,,,,,,,
30316,1936,female,non-male,Architecture & Design,,,,,,,,,,
554,1936,male,male,Painting & Sculpture,,,,,,,,,,
11,1936,male,male,Drawings & Prints,,,,,,,,,,
2600,1936,female,non-male,Painting & Sculpture,,,,,,,,,,
6197,1936,male,male,Architecture & Design,,,,,,,,,,
2141,1936,male,male,Painting & Sculpture,,,,,,,,,,
4116,1936,male,male,Painting & Sculpture,,,,,,,,,,
164,1936,male,male,Architecture & Design,,,,,,,,,,
38052,1936,male,male,Architecture & Design,,,,,,,,,,
3389,1936,male,male,Painting & Sculpture,,,,,,,,,,
4016,1936,male,male,Drawings & Prints,,,,,,,,,,
4567,1936,female,non-male,Architecture & Design,,,,,,,,,,
945,1936,male,male,Drawings & Prints,,,,,,,,,,
5390,1936,male,male,Architecture & Design,,,,,,,,,,
2521,1936,male,male,Drawings & Prints,,,,,,,,,,
3820,1936,male,male,Architecture & Design,,,,,,,,,,
5571,1936,male,male,Architecture & Design,,,,,,,,,,
132148,1936,male,male,Drawings & Prints,,,,,,,,,,
4360,1936,female,non-male,Drawings & Prints,,,,,,,,,,
8381,1936,male,male,Architecture & Design,,,,,,,,,,
4975,1936,male,male,Drawings & Prints,,,,,,,,,,
16,1936,male,male,Architecture & Design,,,,,,,,,,
380,1936,female,non-male,Architecture & Design,,,,,,,,,,
121,1936,male,male,Architecture & Design,,,,,,,,,,
2360,1936,male,male,Painting & Sculpture,,,,,,,,,,
34613,1936,male,male,Drawings & Prints,,,,,,,,,,
5060,1936,female,non-male,Architecture & Design,,,,,,,,,,
5821,1936,male,male,Drawings & Prints,,,,,,,,,,
6473,1936,male,male,Architecture & Design,,,,,,,,,,
4563,1936,female,non-male,Architecture & Design,,,,,,,,,,
445,1937,female,non-male,Architecture & Design,,,,,,,,,,
5088,1937,male,male,Architecture & Design,,,,,,,,,,
1464,1937,male,male,Architecture & Design,,,,,,,,,,
4228,1937,male,male,Architecture & Design,,,,,,,,,,
12501,1937,male,male,Architecture & Design,,,,,,,,,,
2077,1937,male,male,Architecture & Design,,,,,,,,,,
314,1937,male,male,Architecture & Design,,,,,,,,,,
1223,1937,male,male,Architecture & Design,,,,,,,,,,
1630,1937,male,male,Architecture & Design,,,,,,,,,,
63,1937,male,male,Architecture & Design,,,,,,,,,,
2294,1937,male,male,Architecture & Design,,,,,,,,,,
1900,1937,male,male,Architecture & Design,,,,,,,,,,
4288,1937,male,male,Architecture & Design,,,,,,,,,,
5219,1937,male,male,Architecture & Design,,,,,,,,,,
1534,1937,male,male,Architecture & Design,,,,,,,,,,
6337,1937,male,male,Architecture & Design,,,,,,,,,,
4757,1937,male,male,Architecture & Design,,,,,,,,,,
927,1937,male,male,Architecture & Design,,,,,,,,,,
4501,1937,male,male,Architecture & Design,,,,,,,,,,
5739,1937,male,male,Architecture & Design,,,,,,,,,,
6449,1937,male,male,Architecture & Design,,,,,,,,,,
39904,1937,male,male,Architecture & Design,,,,,,,,,,
2644,1937,male,male,Architecture & Design,,,,,,,,,,
2229,1937,female,non-male,Drawings & Prints,,,,,,,,,,
6239,1937,male,male,Architecture & Design,,,,,,,,,,
1282,1937,male,male,Architecture & Design,,,,,,,,,,
226,1937,male,male,Architecture & Design,,,,,,,,,,
3117,1937,female,non-male,Architecture & Design,,,,,,,,,,
4043,1937,male,male,Architecture & Design,,,,,,,,,,
5622,1937,male,male,Architecture & Design,,,,,,,,,,
4103,1937,male,male,Architecture & Design,,,,,,,,,,
48174,1937,male,male,Architecture & Design,,,,,,,,,,
1566,1937,male,male,Architecture & Design,,,,,,,,,,
4887,1937,male,male,Architecture & Design,,,,,,,,,,
1985,1937,male,male,Architecture & Design,,,,,,,,,,
5951,1937,male,male,Architecture & Design,,,,,,,,,,
1231,1937,male,male,Architecture & Design,,,,,,,,,,
1135,1937,female,non-male,Architecture & Design,,,,,,,,,,
5740,1937,male,male,Architecture & Design,,,,,,,,,,
2123,1937,male,male,Architecture & Design,,,,,,,,,,
2652,1937,male,male,Architecture & Design,,,,,,,,,,
89,1937,male,male,Architecture & Design,,,,,,,,,,
575,1937,male,male,Architecture & Design,,,,,,,,,,
358,1937,male,male,Architecture & Design,,,,,,,,,,
3041,1937,male,male,Architecture & Design,,,,,,,,,,
1826,1937,male,male,Architecture & Design,,,,,,,,,,
4054,1937,male,male,Architecture & Design,,,,,,,,,,
154,1937,male,male,Architecture & Design,,,,,,,,,,
4192,1937,male,male,Photography,,,,,,,,,,
3692,1937,male,male,Painting & Sculpture,,,,,,,,,,
1520,1937,male,male,Architecture & Design,,,,,,,,,,
263,1937,male,male,Drawings & Prints,,,,,,,,,,
6189,1937,male,male,Architecture & Design,,,,,,,,,,
3614,1937,male,male,Architecture & Design,,,,,,,,,,
5454,1937,male,male,Painting & Sculpture,,,,,,,,,,
502,1937,male,male,Painting & Sculpture,,,,,,,,,,
1074,1937,male,male,Painting & Sculpture,,,,,,,,,,
1679,1937,male,male,Architecture & Design,,,,,,,,,,
4607,1937,male,male,Drawings & Prints,,,,,,,,,,
5200,1937,male,male,Photography,,,,,,,,,,
2586,1937,male,male,Painting & Sculpture,,,,,,,,,,
869,1937,male,male,Architecture & Design,,,,,,,,,,
4048,1937,male,male,Photography,,,,,,,,,,
3843,1937,male,male,Architecture & Design,,,,,,,,,,
5638,1937,male,male,Architecture & Design,,,,,,,,,,
41,1937,female,non-male,Photography,,,,,,,,,,
8399,1937,male,male,Architecture & Design,,,,,,,,,,
4401,1937,male,male,Architecture & Design,,,,,,,,,,
572,1937,male,male,Architecture & Design,,,,,,,,,,
2881,1937,male,male,Drawings & Prints,,,,,,,,,,
409,1937,male,male,Architecture & Design,,,,,,,,,,
3426,1937,male,male,Painting & Sculpture,,,,,,,,,,
8382,1937,male,male,Architecture & Design,,,,,,,,,,
5452,1937,male,male,Drawings & Prints,,,,,,,,,,
42738,1937,male,male,Architecture & Design,,,,,,,,,,
5544,1937,male,male,Drawings & Prints,,,,,,,,,,
5835,1937,male,male,Drawings & Prints,,,,,,,,,,
1579,1937,male,male,Drawings & Prints,,,,,,,,,,
946,1937,male,male,Architecture & Design,,,,,,,,,,
